,station_name,station_latitude,station_longitude,fsq_id,poi_name,poi_id,poi_category,poi_distance
3882,Nelson & Denman,49.2890705989865,-123.138407369468,5f78f71dee61ef117f87314d,Sushi Aboard,13276,Sushi Restaurant,78
3883,Nelson & Denman,49.2890705989865,-123.138407369468,4aa97278f964a520b25320e3,Blenz Coffee,13035,Coffee Shop,147
3884,Nelson & Denman,49.2890705989865,-123.138407369468,4b66044ff964a520a40e2be3,Akira Sushi,13276,Sushi Restaurant,138
3885,Nelson & Denman,49.2890705989865,-123.138407369468,4ad008e2f964a5205fd720e3,Delany's Coffee House,13035,Coffee Shop,176
3886,Nelson & Denman,49.2890705989865,-123.138407369468,4aa7455df964a5208e4c20e3,Kingyo Izakaya 金魚居酒屋,13276,Sushi Restaurant,190
3887,Nelson & Denman,49.2890705989865,-123.138407369468,4aada3cff964a5201d6120e3,Nat's Pizzeria,13064,Pizzeria,129
3888,Nelson & Denman,49.2890705989865,-123.138407369468,5b65160ac03635002c2ce08c,Shizenya on Denman,13276,Sushi Restaurant,124
3889,Nelson & Denman,49.2890705989865,-123.138407369468,4be8674c947820a1a3dcb4db,Falafel King Restaurant,13144,Falafel Restaurant,162
3890,Nelson & Denman,49.2890705989865,-123.138407369468,6258854dbf92f7404dc513e0,Thios,13177,Greek Restaurant,128
3891,Nelson & Denman,49.2890705989865,-123.138407369468,5b4e9037c9a517002cd3753d,Nat's New York Pizzaria,13064,Pizzeria,133
3892,Nelson & Denman,49.2890705989865,-123.138407369468,552499b1498e8396bd7082d2,Kitaya,13276,Sushi Restaurant,141
3893,Nelson & Denman,49.2890705989865,-123.138407369468,5e645a0e0b66dc00082892ac,Ofra's Kitchen,13309,Middle Eastern Restaurant,143
3894,Nelson & Denman,49.2890705989865,-123.138407369468,4d686b872acd6ea83c412dc0,Damso,13289,Korean Restaurant,201
3895,Nelson & Denman,49.2890705989865,-123.138407369468,503930c5e4b05a7a7146be85,Zeitoon Restaurant,13302,Mediterranean Restaurant,203
3896,Nelson & Denman,49.2890705989865,-123.138407369468,4ac6a6dff964a520a5b520e3,Mediterranean Grill,13064,Pizzeria,235
3897,Nelson & Denman,49.2890705989865,-123.138407369468,633648bf5102e614a125765e,The Frying Pan,13055,Fried Chicken Joint,169
